date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:27	92713/92713	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/index.html	(from )
15:44:27	72/72	---M--	200	added ('OK')	text/plain	date:Tue,%2030%20Jul%202019%2006:25:10%20GMT	https://designreset.com/robots.txt		(from )
15:44:27	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/favicon.ico	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/favicon.ico	(from https://designreset.com/cork/ltr/demo3/)
15:44:27	431/431	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/css/loader.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/css/loader.css	(from https://designreset.com/cork/ltr/demo3/)
15:44:27	156/156	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/js/loader.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/js/loader.js	(from https://designreset.com/cork/ltr/demo3/)
15:44:28	688/688	---MC-	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2011:44:27%20GMT	https://fonts.googleapis.com/css?family=Nunito:400,600,700	D:/WebProjects/nulled/cork-demo3/fonts.googleapis.com/css33d1.css	(from https://designreset.com/cork/ltr/demo3/)
15:44:28	346/346	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/css/plugins.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/css/plugins.css	(from https://designreset.com/cork/ltr/demo3/)
15:44:29	11469/11469	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/plugins/apex/apexcharts.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/apex/apexcharts.css	(from https://designreset.com/cork/ltr/demo3/)
15:44:29	159515/159515	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/bootstrap/css/bootstrap.min.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/bootstrap/css/bootstrap.min.css	(from https://designreset.com/cork/ltr/demo3/)
15:44:30	26855/26855	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/css/dashboard/dash_1.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/css/dashboard/dash_1.css	(from https://designreset.com/cork/ltr/demo3/)
15:44:30	92713/92713	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/index.html	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/index-2.html	(from https://designreset.com/cork/ltr/demo3/)
15:44:30	1080/1080	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/logo.svg	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/logo.svg	(from https://designreset.com/cork/ltr/demo3/)
15:44:30	816/816	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/ca.png	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/ca.png	(from https://designreset.com/cork/ltr/demo3/)
15:44:31	469/469	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/de.png	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/de.png	(from https://designreset.com/cork/ltr/demo3/)
15:44:31	609/609	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/jp.png	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/jp.png	(from https://designreset.com/cork/ltr/demo3/)
15:44:31	638/638	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/fr.png	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/fr.png	(from https://designreset.com/cork/ltr/demo3/)
15:44:31	2022/2022	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/profile-11.jpeg	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/profile-11.jpg	(from https://designreset.com/cork/ltr/demo3/)
15:44:31	1920/1920	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/profile-16.jpeg	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/img/profile-16.jpg	(from https://designreset.com/cork/ltr/demo3/)
